Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,99999,All industries
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,AA,"Agriculture, Forestry and Fishing"
2019,Level 1,BB,"Agriculture, Forestry and Fishing"
2020,level5,BB,"Agriculture, Forestry and Fishing"
